feature,mean_abs_shap
evapotranspiration_mm,3.713150045829859
precipitation_mm_lag_1,2.1467518066667326
precipitation_mm_rolling_std_7d,1.340059931680963
precipitation_mm_rolling_sum_7d,0.47943120295552977
wind_speed_max_kmh,0.34686467093737516
precipitation_mm_rolling_mean_7d,0.32659835377490243
humidity_min_pct,0.27069757606542927
doy_cos,0.2183518064620496
cloud_cover_pct,0.17778449578812974
temp_min_c,0.15425243190603094
doy_sin,0.15196923902600534
humidity_max_pct,0.1402518413481606
precipitation_mm_lag_7,0.09865825877738361
temp_max_c,0.07210434370440956
precipitation_mm_lag_2,0.06921107786426098
precipitation_mm_lag_3,0.051200917051171316
temp_range_c,0.0454363760337893
humidity_range_pct,0.03234784083866346
precipitation_mm_rolling_sum_30d,0.03139192577217269
precipitation_mm_lag_14,0.028191697157960823
precipitation_mm_rolling_mean_30d,0.025606111722369533
precipitation_mm_rolling_std_30d,0.023849401724966766
temp_mean_c,0.02327434084136085
precipitation_mm_lag_30,0.015852870122140036
month_cos,0.007628372860986897
month_sin,0.004441349327714282
is_monsoon,0.002178525177347844
is_peak_monsoon,0.0019209632788448458
is_post_monsoon,0.0010455003375082618
is_pre_monsoon,0.00013105553143490824
